pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-10-01	DTG : Diffusion-based Trajectory Generation for Mapless Global Navigation	2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	We present a novel end-to-end diffusion-based trajectory generation method, DTG, for mapless global navigation in challenging outdoor scenarios with occlusions and unstructured off-road features like grass, buildings, bushes, etc. Given a distant goal, our approach computes a trajectory that satisfies the following goals: (1) minimize the travel distance to the goal; (2) maximize the traversability by choosing paths that do not lie in undesirable areas. Specifically, we present a novel Conditional RNN(CRNN) for diffusion models to efficiently generate trajectories. Furthermore, we propose an adaptive training method that ensures that the diffusion model generates more traversable trajectories. We evaluate our methods in various outdoor scenes and compare the performance with other global navigation algorithms on a Husky robot. In practice, we observe at least a 15% improvement in traveling distance and around a 7% improvement in traversability.	Liang, J., Payandeh, A., Song, D., Xiao, X. and Manocha, D., 2024. DTG: Diffusion-based Trajectory Generation for Mapless Global Navigation. In 2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS). IEEE.	dtg	https://arxiv.org/pdf/2403.09900
2024-10-01	PoCo: Point Context Cluster for RGBD Indoor Place Recognition	2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	We present a novel end-to-end algorithm (PoCo) for the indoor RGB-D place recognition task, aimed at identifying the most likely match for a given query frame within a reference database. The task presents inherent challenges attributed to the constrained field of view and limited range of perception sensors. We propose a new network architecture, which generalizes the recent Context of Clusters (CoCs) to extract global descriptors directly from the noisy point clouds through end-to-end learning. Moreover, we develop the architecture by integrating both color and geometric modalities into the point features to enhance the global descriptor representation. We conducted evaluations on public datasets ScanNet-PR and ARKit with 807 and 5047 scenarios, respectively. PoCo achieves SOTA performance: on ScanNet-PR, we achieve R@1 of 64.63%, a 5.7% improvement from the best-published result CGis (61.12%); on Arkit, we achieve R@1 of 45.12%, a 13.3% improvement from the best-published result CGis (39.82%). In addition, PoCo shows higher efficiency than CGis in inference time (1.75X-faster), and we demonstrate the effectiveness of PoCo in recognizing places within a real-world laboratory environment. 	"Liang, J., Deng, Z., Zhou, Z., Ghasemalizadeh, O., Manocha, D., Sun, M., Kuo, C.H. and Sen, A., 2024. PoCo: Point Context Cluster for RGBD Indoor Place Recognition. In 2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS). IEEE.
"	poco	https://arxiv.org/pdf/2404.02885
2024-10-01	Deep Stochastic Kinematic Models for Probabilistic Motion Forecasting in Traffic	2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	In trajectory forecasting tasks for traffic, future output trajectories can be computed by advancing the ego vehicle’s state with predicted actions according to a kinematics model. By unrolling predicted trajectories via time integration and models of kinematic dynamics, predicted trajectories should not only be kinematically feasible but also relate uncertainty from one timestep to the next. While current works in probabilistic prediction do incorporate kinematic priors for mean trajectory prediction, variance is often left as a learnable parameter, despite uncertainty in one time step being inextricably tied to uncertainty in the previous time step. In this paper, we show simple and differentiable analytical approximations describing the relationship between variance at one timestep and that at the next with the kinematic bicycle model. In our results, we find that encoding the relationship between variance across timesteps works especially well in unoptimal settings, such as with small or noisy datasets. We observe up to a 50% performance boost in partial dataset settings and up to an 8% performance boost in large-scale learning compared to previous kinematic prediction methods on SOTA trajectory forecasting architectures out-of-the-box, with no fine-tuning.	"Zheng, L., Son, S., Liang, J., Wang, X., Clipp, B. and Lin, M.C., 2024. Deep Stochastic Kinematic Models for Probabilistic Motion Forecasting in Traffic. In 2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS). IEEE.
"	motionforcasting	https://arxiv.org/pdf/2406.01431
2024-05-13	Mtg: Mapless trajectory generator with traversability coverage for outdoor navigation	2024 IEEE International Conference on Robotics and Automation (ICRA) 	We present a novel learning-based trajectory generation algorithm for outdoor robot navigation. Our goal is to compute collision-free paths that also satisfy the environment-specific traversability constraints. Our approach is designed for global planning using limited onboard robot perception in mapless environments while ensuring comprehensive coverage of all traversable directions. Our formulation uses a Conditional Variational Autoencoder (CVAE) generative model that is enhanced with traversability constraints and an optimization formulation used for the coverage. We highlight the benefits of our approach over state-of-the-art trajectory generation approaches and demonstrate its performance in challenging and large outdoor environments, including around buildings, across intersections, along trails, and off-road terrain, using a Clearpath Husky and a Boston Dynamics Spot robot. In practice, our approach results in a 6% improvement in coverage of traversable areas and an 89% reduction in trajectory portions residing in non-traversable regions.	Liang, J., Gao, P., Xiao, X., Sathyamoorthy, A.J., Elnoor, M., Lin, M.C. and Manocha, D., 2024, May. Mtg: Mapless trajectory generator with traversability coverage for outdoor navigation. In 2024 IEEE International Conference on Robotics and Automation (ICRA) (pp. 2396-2402). IEEE.	mtg	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611319&casa_token=f_GXJJa5pwEAAAAA:gHBuqpXcFDXBscTkfMntlTvm47sKkAZJhuw5bSvYHFDWGXcQxcOCA10BAE277BloDdRHjn97ARk
2023-10-01	Geometric-Preserved Place Recognition for Cross-View and Cross-Modal Collaborative Perception	2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 	Place recognition plays an important role in multirobot collaborative perception, such as aerial-ground search and rescue, in order to identify the same place they have visited. Recently, approaches based on semantics showed the promising performance to address cross-view and cross-modal challenges in place recognition, which can be further categorized as graphbased and geometric-based methods. However, both methods have shortcomings, including ignoring geometric cues and affecting by large non-overlapped regions between observations. In this paper, we introduce a novel approach that integrates semantic graph matching and distance fields (DF) matching for cross-view and cross-modal place recognition. Our method uses a graph representation to encode visual-spatial cues of semantics and uses a set of class-wise DFs to encode geometric cues of a scene. Then, we formulate place recognition as a two-step matching problem. We first perform semantic graph matching to identify the correspondence of semantic objects. Then, we estimate the overlapped regions based on the identified correspondences and further align these regions to compute their geometricbased DF similarity. Finally, we integrate graph-based similarity and geometry-based DF similarity to match places. We evaluate our approach over two public benchmark datasets, including KITTI and AirSim. Compared with the previous methods, our approach achieves around 10% improvement in ground-ground place recognition in KITTI and 35% improvement in aerialground place recognition in AirSim.	Gao, P., Liang, J., Shen, Y., Son, S. and Lin, M.C., 2023, October. Visual, Spatial, Geometric-Preserved Place Recognition for Cross-View and Cross-Modal Collaborative Perception. In 2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) (pp. 11079-11086). IEEE.	geometric	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10341898&casa_token=VY_9aXhYHSgAAAAA:mul4F43s3RQ4z2Y1ajMgWuF6QMkLC-iq3xmXqTt8izya7zRZUIPsZCzfUcb9nc4Wf27mml4WXOQ
2023-09-27	GrASPE: Graph based Multimodal Fusion for Robot Navigation in Outdoor Environments	IEEE Robotics and Automation Letters	We present a novel trajectory traversability estimation and planning algorithm for robot navigation in complex outdoor environments. We incorporate multimodal sensory inputs from an RGB camera, 3D LiDAR, and the robot’s odometry sensor to train a prediction model to estimate candidate trajectories’ success probabilities based on partially reliable multi-modal sensor observations. We encode high-dimensional multi-modal sensory inputs to low-dimensional feature vectors using encoder networks and represent them as a connected graph. The graph is then used to train an attention-based Graph Neural Network (GNN) to predict trajectory success probabilities. We further analyze the number of features in the image (corners) and point cloud data (edges and planes) separately to quantify their reliability to augment the weights of the feature graph representation used in our GNN. During runtime, our model utilizes multi-sensor inputs to predict the success probabilities of the trajectories generated by a local planner to avoid potential collisions and failures. Our algorithm demonstrates robust predictions when one or more sensor modalities are unreliable or unavailable in complex outdoor environments. We evaluate our algorithm’s navigation performance using a Spot robot in real-world outdoor environments. We observe an increase of 10-30% in terms of navigation success rate and up to 15% increase in AU-ROC compared to the state-of-the-art navigation methods.	Weerakoon, K., Sathyamoorthy, A.J., Liang, J., Guan, T., Patel, U. and Manocha, D., 2023. GrASPE: Graph based Multimodal Fusion for Robot Navigation in Outdoor Environments. IEEE Robotics and Automation Letters.	graspe	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10265189&casa_token=NyOFZ3yfOOMAAAAA:w2wYOoxVRYvkHb1XsUfneXHvp44pp2squfJklIqFyRWfoISl5_MCYz-67lnO7LKh1M35TtgBF0s
2023-07-11	MSVIPER	Journal of the Washington Academy of Sciences	We present Multiple Scenario Verifiable Reinforcement Learning via Policy Extraction (MSVIPER), a new method for policy distillation to decision trees for improved robot navigation. MSVIPER learns an “expert” policy using any Reinforcement Learning (RL) technique involving learning a state-action mapping and then uses imitation learning to learn a decision-tree policy from it. We demonstrate that MSVIPER results in efficient decision trees and can accurately mimic the behavior of the expert policy. Moreover, we present efficient policy distillation and tree-modification techniques that take advantage of the decision tree structure to allow improvements to a policy without retraining. We use our approach to improve the performance of RL-based robot navigation algorithms for indoor and outdoor scenes. We demonstrate the benefits in terms of reduced freezing and oscillation behaviors (by up to 95% reduction) for mobile robots navigating among dynamic obstacles and reduced vibrations and oscillation (by up to 17%) for outdoor robot navigation on complex, uneven terrains.	Roth, A.M., Liang, J., Sriram, R., Tabassi, E. and Manocha, D., 2023. MSVIPER. Journal of the Washington Academy of Sciences, 109(2), pp.27-58.	msviper	https://www.jstor.org/stable/pdf/27281325.pdf?casa_token=uhJtVJUcQAYAAAAA:Tu2LABe6z9Womr38NeSEJNnWqJ-16jJlCDJG6Bl0hzf3WNh0rPHjx_XS5d1nAGVemV_1oZgkWo4vjepuAOz9GSwnV26Dal9uvrcg1wEWPz4pXPc5nvk0
2023-10-01	CrossLoc3D: Aerial-Ground Cross-Source 3D Place Recognition	the IEEE/CVF International Conference on Computer Vision 2023	We present CROSSLOC3D, a novel 3D place recognition method that solves a large-scale point matching problem in a cross-source setting. Cross-source point cloud data corresponds to point sets captured by depth sensors with different accuracies or from different distances and perspectives. We address the challenges in terms of developing 3D place recognition methods that account for the representation gap between points captured by different sources. Our method handles cross-source data by utilizing multigrained features and selecting convolution kernel sizes that correspond to most prominent features. Inspired by the diffusion models, our method uses a novel iterative refinement process that gradually shifts the embedding spaces from different sources to a single canonical space for better metric learning. In addition, we present CS-CAMPUS3D, the first 3D aerial-ground cross-source dataset consisting of point cloud data from both aerial and ground LiDAR scans. The point clouds in CS-CAMPUS3D have representation gaps and other features like different views, point densities, and noise patterns. We show that our CROSSLOC3D algorithm can achieve an improvement of 4.74% - 15.37% in terms of the top 1 average recall on our CS-CAMPUS3D benchmark and achieves performance comparable to state-of-theart 3D place recognition method on the Oxford RobotCar	Guan, T., Muthuselvam, A., Hoover, M., Wang, X., Liang, J., Sathyamoorthy, A.J., Conover, D. and Manocha, D., 2023. CrossLoc3D: Aerial-Ground Cross-Source 3D Place Recognition. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 11335-11344).	crossloc3D	https://openaccess.thecvf.com/content/ICCV2023/papers/Guan_CrossLoc3D_Aerial-Ground_Cross-Source_3D_Place_Recognition_ICCV_2023_paper.pdf
2022-12-16	Adaptiveon: Adaptive outdoor local navigation method for stable and reliable actions	IEEE Robotics and Automation Letters	We present a novel outdoor navigation algorithm to generate stable and efficient actions to navigate a robot to reach a goal. We use a multi-stage training pipeline and show that our approach produces policies that result in stable and reliable robot navigation on complex terrains. Based on the Proximal Policy Optimization (PPO) algorithm, we developed a novel method to achieve multiple capabilities for outdoor local navigation tasks, namely alleviating the robot’s drifting, keeping the robot stable on bumpy terrains, avoiding climbing on hills with steep elevation changes, and avoiding collisions. Our training process mitigates the reality (sim-to-real) gap by introducing generalized environmental and robotic parameters and training with rich features captured from light detection and ranging (Lidar) sensor in a high-fidelity Unity simulator. We evaluate our method in both simulation and real-world environments using Clearpath Husky and Jackal robots. Further, we compare our method against the state-of-the-art approaches and observe that, in the real world, our method improves stability by at least 30.7% on uneven terrains, reduces drifting by 8.08%, and decreases the elevation changes by 14.75%.	"

Liang, J., Weerakoon, K., Guan, T., Karapetyan, N. and Manocha, D., 2022. Adaptiveon: Adaptive outdoor local navigation method for stable and reliable actions. IEEE Robotics and Automation Letters, 8(2), pp.648-655.

Vancouver	"	adaptiveon	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9991054&casa_token=sXr-TSaRl8IAAAAA:hqnFeYKKgDJdPjobHCm1liJsNmG8HIsaF5WhpzHVzVhiC1IIXbRBnZ28gcwZorQz0wNRHcNNsgk
2022-10-23	Terrapn: Unstructured terrain navigation using online self-supervised learning	2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	We present TerraPN, a novel method that learns the surface properties (traction, bumpiness, deformability, etc.) of complex outdoor terrains directly from robot-terrain interactions through self-supervised learning, and uses it for autonomous robot navigation. Our method uses RGB images of terrain surfaces and the robot’s velocities as inputs, and the IMU vibrations and odometry errors experienced by the robot as labels for self-supervision. Our method computes a surface cost map that differentiates smooth, high-traction surfaces (low navigation costs) from bumpy, slippery, deformable surfaces (high navigation costs). We compute the cost map by nonuniformly sampling patches from the input RGB image by detecting boundaries between surfaces resulting in low inference times (47.27% lower) compared to uniform sampling and existing segmentation methods. We present a novel navigation algorithm that accounts for a surface’s cost, computes costbased acceleration limits for the robot, and dynamically feasible, collision-free trajectories. TerraPN’s surface cost prediction can be trained in ∼ 25 minutes for five different surfaces, compared to several hours for previous learning-based segmentation methods. In terms of navigation, our method outperforms previous works in terms of success rates (up to 35.84% higher), vibration cost of the trajectories (up to 21.52% lower), and slowing the robot on bumpy, deformable surfaces (up to 46.76% slower) in different scenarios.	Sathyamoorthy, A.J., Weerakoon, K., Guan, T., Liang, J. and Manocha, D., 2022, October. Terrapn: Unstructured terrain navigation using online self-supervised learning. In 2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) (pp. 7197-7204). IEEE.	terrapn	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981942&casa_token=ij530DtCTIkAAAAA:_pFBpVnwBFcIp17Ojwj5AaH05W1p6Ex6cjXOxnF78vU57hdSsSwyxwDThq_1FJlPzMXakigSzzc
